pref_name,station_name,line_name,station_lat,station_lon,passenger_2017,passenger_2018,passenger_2019
千葉県,巌根,ＪＲ内房線,35.414286,139.93326,3602,3510,3510
東京都,川井,ＪＲ青梅線,35.813824,139.164028,0,0,0
埼玉県,川口,ＪＲ京浜東北線,35.80188,139.717566,166040,169062,169062
埼玉県,川口元郷,埼玉高速鉄道,35.800158,139.730121,19300,20400,20800
神奈川県,川和町,横浜市営地下鉄グリーンライン,35.528517,139.549316,8348,8511,8480
神奈川県,川崎,ＪＲ京浜東北線,35.531408,139.696886,418960,429202,429202
神奈川県,川崎大師,京急大師線,35.535714,139.725994,17729,18050,18231
神奈川県,川崎新町,ＪＲ南武線(尻手－浜川崎),35.518131,139.699247,4522,5640,5640
埼玉県,川角,東武越生線,35.937553,139.346841,15663,15264,14584
埼玉県,川越,東武東上線,35.906975,139.482915,203225,203572,201598
埼玉県,川越市,東武東上線,35.914141,139.477387,44676,47163,47600
千葉県,川間,東武アーバンパークライン(大宮－柏),35.979168,139.833855,17286,17328,17065
東京都,巣鴨,都営地下鉄三田線,35.73347,139.739346,250427,250245,248965
東京都,巣鴨新田,都電荒川線,35.735192,139.727735,1180,1180,1180
神奈川県,市が尾,東急田園都市線,35.551431,139.541454,44170,44373,43403
東京都,市ケ谷,ＪＲ中央・総武線各駅停車,35.691003,139.735598,0,0,0
東京都,市場前,ゆりかもめ,35.645731,139.785679,2583,7902,11393
神奈川県,市大医学部,横浜シーサイドライン,35.343872,139.650121,11102,11364,11397
千葉県,市川,ＪＲ総武本線,35.729279,139.907804,121116,122836,122836
千葉県,市川塩浜,ＪＲ京葉線,35.666565,139.923723,15512,16272,16272
千葉県,市川大野,ＪＲ武蔵野線,35.755138,139.951576,23536,23962,23962
千葉県,市川真間,京成本線,35.731362,139.911609,7418,7443,7258
千葉県,市役所前,千葉都市モノレール１号線,35.607269,140.107987,4643,4969,5185
千葉県,布佐,ＪＲ成田線(我孫子－成田),35.849076,140.133085,6760,6658,6658
東京都,布田,京王線,35.649865,139.551865,16629,16792,16784
神奈川県,希望ケ丘,相鉄本線,35.460357,139.51371,0,0,0
千葉県,常盤平,新京成線,35.803411,139.949852,18934,18874,18988
千葉県,幕張,ＪＲ総武本線,35.659373,140.057961,31460,32176,32176
千葉県,幕張本郷,ＪＲ中央・総武線各駅停車,35.672788,140.04224,56594,59592,59592
東京都,幡ケ谷,京王新線,35.677115,139.67652,0,0,0
千葉県,干潟,ＪＲ総武本線,35.718293,140.602913,1948,1730,1730
東京都,平井,ＪＲ総武本線,35.706447,139.842755,65478,67358,67358
東京都,平和台,東京メトロ有楽町線,35.757688,139.654379,46480,47169,47003
東京都,平和島,京急本線,35.578793,139.734964,47873,48608,48639
神奈川県,平塚,ＪＲ東海道本線(東京－熱海),35.327896,139.350591,123688,123614,123614
千葉県,平山,ＪＲ久留里線,35.274303,140.064867,0,0,0
東京都,平山城址公園,京王線,35.647529,139.380352,8707,8562,8402
神奈川県,平沼橋,相鉄本線,35.459886,139.616535,8445,8768,8926
神奈川県,平間,ＪＲ南武線(川崎－立川),35.561016,139.671053,28688,29558,29558
埼玉県,幸手,東武日光線,36.074545,139.714859,14003,13717,13574
